,favorite,retweet,tweet_id
0,38828,8593,892420643555336193
1,33260,6314,892177421306343426
2,25054,4191,891815181378084864
3,42204,8706,891689557279858688
4,40353,9477,891327558926688256
5,20241,3136,891087950875897856
6,11862,2088,890971913173991426
7,65591,19056,890729181411237888
8,27788,4301,890609185150312448
9,31961,7475,890240255349198849
10,30672,7394,890006608113172480
11,27814,5008,889880896479866881
12,48167,10145,889665388333682689
13,27190,4578,889638837579907072
14,15106,2254,889531135344209921
15,25322,5476,889278841981685760
16,29108,4530,888917238123831296
17,25608,4380,888804989199671297
18,19930,3612,888554962724278272
19,21777,3521,888078434458587136
20,30221,5437,887705289381826560
21,46268,11754,887517139158093824
22,69185,18385,887473957103951883
23,33729,10491,887343217045368832
24,30564,6006,887101392804085760
25,35181,7829,886983233522544640
26,12085,3322,886736880519319552
27,22446,4504,886680336477933568
28,21155,3204,886366144734445568
29,116,4,886267009285017600
30,28008,6339,886258384151887873
31,0,104,886054160059072513
32,32740,6868,885984800019947520
33,36032,6492,885528943205470208
34,20446,3789,885518971528720385
35,0,18727,885311592912609280
36,21967,4413,885167619883638784
37,77588,18601,884925521741709313
38,27963,5833,884876753390489601
39,24320,4910,884562892145688576
40,27008,5697,884441805382717440
41,73098,20621,884247878851493888
42,20404,3011,884162670584377345
43,21924,3478,883838122936631299
44,46010,10044,883482846933004288
45,22578,3712,883360690899218434
46,37251,6734,883117836046086144
47,23972,3955,882992080364220416
48,28349,4966,882762694511734784
49,27920,6151,882627270321602560
50,45018,11710,882268110199369728
51,29395,5035,882045870035918850
52,24324,3422,881906580714921986
53,50604,10780,881666595344535552
54,128,7,881633300179243008
55,49519,16145,881536004380872706
56,23097,5200,881268444196462592
57,17017,2803,880935762899988482
58,21322,3856,880872448815771648
59,28562,6350,880465832366813184
60,27109,4275,880221127280381952
61,27661,4400,880095782870896641
62,22331,3532,879862464715927552
63,314,10,879674319642796034
64,23437,3217,879492040517615616
65,106029,44639,879415818425184262
66,16786,3151,879376492567855104
67,0,6917,879130579576475649
68,22622,4769,879050749262655488
69,18992,2722,879008229531029506
70,19400,4167,878776093423087618
71,30332,7322,878604707211726852
72,0,1310,878404777348136964
73,0,6733,878316110768087041
74,7769,1310,878281511006478336
75,42109,6917,878057613040115712
76,80051,19400,877736472329191424
77,0,81,877611172832227328
78,22798,3869,877556246731214848
79,27401,5237,877316821321428993
80,27195,5669,877201837425926144
81,20711,3408,876838120628539392
82,23488,4669,876537666061221889
83,18810,2434,876484053909872640
84,27990,4756,876120275196170240
85,25260,4353,875747767867523072
86,21979,4992,875144289856114688
87,27488,6131,875097192612077568
88,25548,4785,875021211251597312
89,27929,4711,874680097055178752
90,0,15004,874434818259525634
91,26137,4179,874296783580663808
92,22722,4016,874057562936811520
93,34817,10638,874012996292530176
94,24356,4011,873580283840344065
95,0,1615,873337748698140672
96,7298,1615,873213775632977920
97,27513,5499,872967104147763200
98,14793,3761,872820683541237760
99,0,28,872668790621863937
100,20902,3777,872620804844003328
101,40922,9178,872486979161796608
102,34444,6454,872261713294495745
103,34661,8289,872122724285648897
104,38298,11463,871879754684805121
105,20395,3549,871762521631449091
106,20364,3525,871515927908634625
107,0,5810,871166179821445120
108,21072,5605,871102520638267392
109,22834,3886,871032628920680449
110,33924,6366,870804317367881728
111,120,3,870726314365509632
112,12549,2711,870656317836468226
113,83469,26889,870374049280663552
114,22023,4258,870308999962521604
115,37049,8573,870063196459192321
116,42862,10322,869772420881756160
117,28575,6499,869702957897576449
118,16169,3219,869596645499047938
119,20671,3899,869227993411051520
120,66494,14941,868880397819494401
121,0,2158,868639477480148993
122,27608,5940,868622495443632128
123,10312,2158,868552278524837888
124,24513,4304,867900495410671616
125,34495,7561,867774946302451713
126,16410,2596,867421006826221569
127,0,131,867072653475098625
128,32776,8146,867051520902168576
129,20445,5001,866720684873056260
130,19682,3613,866686824827068416
131,124471,36521,866450705531457537
132,53573,15004,866334964761202691
133,0,8672,866094527597207552
134,26083,5808,865718153858494464
135,26990,5188,865359393868664832
136,28550,7952,865006731092295680
137,32971,9046,864873206498414592
138,14922,3161,864279568663928832
139,30818,9296,864197398364647424
140,21068,4300,863907417377173506
141,15619,4343,863553081350529029
142,0,2576,863471782782697472
143,24327,5479,863432100342583297
144,2311,100,863427515083354112
145,8961,1146,863079547188785154
146,8740,2576,863062471531167744
147,19625,5284,862831371563274240
148,17473,3686,862722525377298433
149,21043,5177,862457590147678208
150,76437,24323,862096992088072192
151,36956,11159,861383897657036800
152,17632,4348,861288531465048066
153,17159,3984,861005113778896900
154,0,2255,860981674716409858
155,0,854,860924035999428608
156,7701,2255,860563773140209665
157,24230,5514,860524505164394496
158,18785,3634,860276583193509888
159,17138,6116,860184849394610176
160,0,32374,860177593139703809
161,20072,4290,859924526012018688
162,15816,3664,859851578198683649
163,19109,1652,859607811541651456
164,92501,31745,859196978902773760
165,34890,14278,859074603037188101
166,0,8538,858860390427611136
167,16000,3648,858843525470990336
168,22152,5086,858471635011153920
169,16209,3057,858107933456039936
170,16608,2715,857989990357356544
171,35316,11167,857746408056729600
172,6108,1719,857393404942143489
173,20639,4771,857263160327368704
174,237,20,857214891891077121
175,0,179,857062103051644929
176,19530,4219,857029823797047296
177,0,11292,856602993587888130
178,16820,3042,856543823941562368
179,12216,1987,856526610513747968
180,0,714,856330835276025856
181,534,17,856288084350160898
182,28592,6674,856282028240666624
183,361,28,855862651834028034
184,5134,1098,855860136149123072
185,12237,2243,855857698524602368
186,46993,18706,855851453814013952
187,27538,5769,855818117272018944
188,31049,8729,855459453768019968
189,0,6342,855245323840757760
190,0,49,855138241867124737
191,23722,6493,854732716440526848
192,30480,7330,854482394044301312
193,19646,4998,854365224396361728
194,33237,7983,854120357044912130
195,16838,3347,854010172552949760
196,29799,6193,853760880890318849
197,36418,10866,853639147608842240
198,16206,3812,853299958564483072
199,0,2168,852936405516943360
200,9452,1975,852912242202992640
201,15608,2302,852672615818899456
202,17133,3767,852553447878664193
203,34676,10621,852311364735569921
204,20938,7328,852226086759018497
205,11991,1695,852189679701164033
206,0,10372,851953902622658560
207,0,23,851861385021730816
208,16985,3721,851591660324737024
209,25452,7603,851464819735769094
210,21691,6163,851224888060895234
211,32635,10022,850753642995093505
212,13711,2816,850380195714523136
213,3586,360,850333567704068097
214,17168,4126,850145622816686080
